Year,Category,Subcategory Code,Subcategory Name,Document Count,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
2016,Computer Science,cs.DS,Data Structures & Algorithms,1489,algorithm,graph,time,algorithms,problems,number,given,complexity,graphs,approximation
2017,Computer Science,cs.DS,Data Structures & Algorithms,1604,algorithm,time,graph,algorithms,number,graphs,given,networks,known,space
2018,Computer Science,cs.DS,Data Structures & Algorithms,1765,algorithm,time,algorithms,approximation,graph,problems,linear,graphs,number,complexity
2019,Computer Science,cs.DS,Data Structures & Algorithms,2040,algorithm,time,algorithms,graph,graphs,space,approximation,distance,optimal,number
2020,Computer Science,cs.DS,Data Structures & Algorithms,2236,algorithm,time,graph,algorithms,graphs,approximation,problems,number,complexity,given
2021,Computer Science,cs.DS,Data Structures & Algorithms,1990,algorithm,time,approximation,algorithms,graph,number,problems,graphs,varepsilon,complexity
2022,Computer Science,cs.DS,Data Structures & Algorithms,2032,algorithm,time,algorithms,graph,graphs,approximation,matching,linear,number,problems
2023,Computer Science,cs.DS,Data Structures & Algorithms,2225,algorithm,time,algorithms,graph,approximation,graphs,number,problems,complexity,given
2024,Computer Science,cs.DS,Data Structures & Algorithms,2305,algorithm,time,algorithms,graph,approximation,graphs,number,optimal,linear,given
2025,Computer Science,cs.DS,Data Structures & Algorithms,2379,algorithm,time,graph,algorithms,graphs,size,approximation,given,bounds,polynomial
2026,Computer Science,cs.DS,Data Structures & Algorithms,533,algorithm,time,graph,graphs,algorithms,complexity,optimal,approximation,given,number
2015,Computer Science,cs.DB,Databases,370,database,query,information,algorithms,quality,time,process,algorithm,many,datasets
2016,Computer Science,cs.DB,Databases,420,query,queries,database,graph,algorithms,time,real,mining,algorithm,systems
2017,Computer Science,cs.DB,Databases,507,query,queries,time,database,algorithm,systems,analysis,processing,graph,system
2018,Computer Science,cs.DB,Databases,540,query,database,time,queries,algorithms,learning,system,analysis,datasets,systems
2019,Computer Science,cs.DB,Databases,740,query,database,queries,performance,time,learning,systems,system,knowledge,datasets
2020,Computer Science,cs.DB,Databases,884,query,graph,queries,database,time,learning,algorithm,knowledge,graphs,dataset
2021,Computer Science,cs.DB,Databases,806,query,performance,time,graph,queries,database,graphs,real,techniques,algorithms
2022,Computer Science,cs.DB,Databases,843,query,queries,knowledge,real,time,performance,database,privacy,systems,applications
2023,Computer Science,cs.DB,Databases,979,query,database,graph,time,performance,databases,learning,systems,process,datasets
2024,Computer Science,cs.DB,Databases,1176,query,performance,systems,database,queries,learning,process,time,language,graph
2025,Computer Science,cs.DB,Databases,1496,query,queries,graph,language,performance,systems,search,database,framework,llms
2026,Computer Science,cs.DB,Databases,439,query,queries,language,search,performance,database,memory,knowledge,time,system
2015,Computer Science,cs.DL,Digital Libraries,243,research,citation,scientific,science,papers,information,impact,articles,search,index
2016,Computer Science,cs.DL,Digital Libraries,258,research,citation,scientific,papers,impact,analysis,network,authors,index,information
2017,Computer Science,cs.DL,Digital Libraries,292,research,scientific,citation,analysis,papers,citations,information,science,impact,networks
2018,Computer Science,cs.DL,Digital Libraries,434,research,scientific,citation,analysis,articles,publications,performance,information,science,papers
2019,Computer Science,cs.DL,Digital Libraries,322,research,papers,citation,scientific,publications,analysis,science,citations,researchers,information
2020,Computer Science,cs.DL,Digital Libraries,404,research,scientific,papers,science,impact,analysis,covid,citation,publications,open
2021,Computer Science,cs.DL,Digital Libraries,479,research,scientific,science,citation,analysis,information,publications,knowledge,impact,literature
2022,Computer Science,cs.DL,Digital Libraries,357,research,scientific,science,citation,papers,publications,knowledge,information,articles,analysis
2023,Computer Science,cs.DL,Digital Libraries,423,research,scientific,science,impact,citation,analysis,papers,information,digital,attention
2024,Computer Science,cs.DL,Digital Libraries,496,research,papers,scientific,citation,science,publications,open,citations,analysis,quality
2025,Computer Science,cs.DL,Digital Libraries,603,research,citation,scientific,knowledge,science,open,language,analysis,metadata,papers
2026,Computer Science,cs.DL,Digital Libraries,121,research,scientific,language,knowledge,science,dataset,papers,review,analysis,across
2015,Computer Science,cs.DM,Discrete Mathematics,759,graph,graphs,algorithm,number,time,vertices,vertex,every,bounds,algorithms
2016,Computer Science,cs.DM,Discrete Mathematics,740,graph,graphs,number,algorithm,vertices,time,problems,given,complexity,vertex
2017,Computer Science,cs.DM,Discrete Mathematics,801,graphs,graph,time,algorithm,mathcal,number,mathbb,problems,vertices,given
2018,Computer Science,cs.DM,Discrete Mathematics,869,graphs,graph,number,algorithm,time,edge,random,case,degree,algorithms
2019,Computer Science,cs.DM,Discrete Mathematics,1000,graph,graphs,time,algorithm,number,algorithms,vertices,vertex,bound,known
2020,Computer Science,cs.DM,Discrete Mathematics,1034,graph,graphs,algorithm,number,time,edges,linear,edge,mathcal,vertex
2021,Computer Science,cs.DM,Discrete Mathematics,1026,graphs,graph,time,algorithm,number,vertex,problems,complexity,vertices,given
2022,Computer Science,cs.DM,Discrete Mathematics,1025,graph,graphs,number,mathcal,algorithm,time,complexity,vertex,every,problems
2023,Computer Science,cs.DM,Discrete Mathematics,1076,graph,graphs,algorithm,number,time,vertex,problems,vertices,every,prove
2024,Computer Science,cs.DM,Discrete Mathematics,1127,graph,graphs,number,algorithm,time,vertex,bound,problems,vertices,linear
2025,Computer Science,cs.DM,Discrete Mathematics,1183,graph,graphs,algorithm,mathcal,time,number,edge,vertices,problems,complexity
2026,Computer Science,cs.DM,Discrete Mathematics,234,graphs,graph,number,time,polynomial,algorithm,vertex,known,every,bounded
2015,Computer Science,cs.DC,Distributed Computing,910,time,performance,algorithm,cloud,computing,parallel,system,applications,algorithms,distributed
2016,Computer Science,cs.DC,Distributed Computing,1031,performance,distributed,computing,systems,algorithm,network,time,cloud,memory,communication
2017,Computer Science,cs.DC,Distributed Computing,1292,distributed,performance,time,algorithm,algorithms,network,systems,computing,applications,cloud
2018,Computer Science,cs.DC,Distributed Computing,1588,distributed,time,algorithm,performance,algorithms,cloud,parallel,computing,network,system
2019,Computer Science,cs.DC,Distributed Computing,2042,performance,distributed,algorithm,systems,graph,algorithms,system,time,computing,applications
2020,Computer Science,cs.DC,Distributed Computing,2385,performance,learning,time,distributed,cloud,memory,network,applications,computing,algorithm
2021,Computer Science,cs.DC,Distributed Computing,2352,training,distributed,learning,performance,time,computing,edge,network,algorithm,algorithms
2022,Computer Science,cs.DC,Distributed Computing,2219,learning,performance,training,network,memory,applications,distributed,computing,propose,time
2023,Computer Science,cs.DC,Distributed Computing,2566,learning,distributed,performance,time,systems,system,training,algorithm,memory,cloud
2024,Computer Science,cs.DC,Distributed Computing,3110,learning,performance,distributed,computing,network,training,federated,applications,communication,systems
2025,Computer Science,cs.DC,Distributed Computing,3656,performance,memory,training,time,system,energy,learning,systems,framework,across
2026,Computer Science,cs.DC,Distributed Computing,768,performance,memory,systems,distributed,inference,framework,cost,time,across,communication
2015,Computer Science,cs.ET,Emerging Technologies,175,computing,systems,quantum,gates,reversible,system,gate,circuit,communication,logic
2016,Computer Science,cs.ET,Emerging Technologies,204,energy,systems,quantum,information,memory,computing,communication,time,design,molecular
2017,Computer Science,cs.ET,Emerging Technologies,228,quantum,computing,circuits,design,memory,networks,circuit,systems,energy,performance
2018,Computer Science,cs.ET,Emerging Technologies,342,quantum,circuits,computing,time,network,circuit,algorithm,networks,energy,systems
2019,Computer Science,cs.ET,Emerging Technologies,400,quantum,neural,network,design,memory,computing,power,networks,circuits,energy
2020,Computer Science,cs.ET,Emerging Technologies,417,quantum,network,computing,neural,hardware,networks,performance,algorithm,design,memory
2021,Computer Science,cs.ET,Emerging Technologies,498,quantum,computing,neural,networks,optical,hardware,memory,energy,design,systems
2022,Computer Science,cs.ET,Emerging Technologies,476,quantum,computing,circuits,circuit,memory,network,neural,time,performance,devices
2023,Computer Science,cs.ET,Emerging Technologies,661,quantum,computing,circuit,energy,memory,time,optimization,learning,networks,performance
2024,Computer Science,cs.ET,Emerging Technologies,1279,quantum,design,computing,system,performance,circuit,networks,systems,optimization,memory
2025,Computer Science,cs.ET,Emerging Technologies,1484,quantum,system,learning,computing,performance,energy,framework,systems,design,optimization
2026,Computer Science,cs.ET,Emerging Technologies,335,quantum,performance,systems,energy,learning,framework,multi,across,hardware,accuracy
2015,Computer Science,cs.FL,Formal Languages,287,automata,languages,finite,language,regular,complexity,free,time,tree,deterministic
2016,Computer Science,cs.FL,Formal Languages,271,automata,languages,finite,automaton,words,complexity,regular,state,order,number
