Year,Category,Subcategory Code,Subcategory Name,Document Count,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
2019,Statistics,stat.OT,Other Statistics,148,methods,statistical,statistics,analysis,bayesian,time,inference,provide,estimation,random
2020,Statistics,stat.OT,Other Statistics,166,probability,statistical,statistics,bayesian,science,theory,methods,analysis,test,effect
2021,Statistics,stat.OT,Other Statistics,130,analysis,methods,statistical,distribution,time,bayesian,series,probability,science,some
2022,Statistics,stat.OT,Other Statistics,120,methods,probability,statistical,distribution,time,inference,analysis,science,network,statistics
2023,Statistics,stat.OT,Other Statistics,135,statistics,analysis,statistical,science,research,information,probability,time,other,provide
2024,Statistics,stat.OT,Other Statistics,130,analysis,science,research,methods,framework,statistical,statistics,information,time,network
2025,Statistics,stat.OT,Other Statistics,186,analysis,methods,statistical,learning,research,causal,across,performance,framework,inference
2026,Statistics,stat.OT,Other Statistics,46,analysis,studies,probability,uncertainty,bayesian,statistics,value,inference,framework,methods
2015,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2016,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2017,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2018,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2019,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2020,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2021,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2022,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2023,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2024,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2025,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
2026,Statistics,stat.TH,Statistics Theory,0,,,,,,,,,,
